981629.un05:hpc565,hpc567,hpc570,hpc571,hpc572,hpc580:Nodes hpc565 <-> hpc567:hpc565->IBSW_33->hpc567
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc193 <-> hpc279:hpc193->IBSW_11->IBB1_SW_L06->IBB1_SW_S17->IBB1_SW_L08->IBSW_16->hpc279
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc193 <-> hpc334:hpc193->IBSW_11->IBB2_SW_L06->IBB2_SW_S14->IBB2_SW_L10->IBSW_19->hpc334
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc193 <-> hpc434:hpc193->IBSW_11->IBB2_SW_L06->IBB2_SW_S05->IBB2_SW_L13->IBSW_25->hpc434
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc193 <-> hpc457:hpc193->IBSW_11->IBB1_SW_L06->IBB1_SW_S18->IBB1_SW_L13->IBSW_26->hpc457
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc210:hpc209->IBSW_12->hpc210
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc256:hpc209->IBSW_12->IBB2_SW_L06->IBB2_SW_S04->IBB2_SW_L08->IBSW_15->hpc256
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc260:hpc209->IBSW_12->IBB2_SW_L06->IBB2_SW_S06->IBB2_SW_L08->IBSW_15->hpc260
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc279:hpc209->IBSW_12->IBB1_SW_L06->IBB1_SW_S17->IBB1_SW_L08->IBSW_16->hpc279
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc334:hpc209->IBSW_12->IBB2_SW_L06->IBB2_SW_S14->IBB2_SW_L10->IBSW_19->hpc334
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc434:hpc209->IBSW_12->IBB2_SW_L06->IBB2_SW_S05->IBB2_SW_L13->IBSW_25->hpc434
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc209 <-> hpc457:hpc209->IBSW_12->IBB1_SW_L06->IBB1_SW_S18->IBB1_SW_L13->IBSW_26->hpc457
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc210 <-> hpc256:hpc210->IBSW_12->IBB2_SW_L06->IBB2_SW_S04->IBB2_SW_L08->IBSW_15->hpc256
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc210 <-> hpc260:hpc210->IBSW_12->IBB2_SW_L06->IBB2_SW_S06->IBB2_SW_L08->IBSW_15->hpc260
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc210 <-> hpc279:hpc210->IBSW_12->IBB1_SW_L06->IBB1_SW_S17->IBB1_SW_L08->IBSW_16->hpc279
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc210 <-> hpc334:hpc210->IBSW_12->IBB2_SW_L06->IBB2_SW_S14->IBB2_SW_L10->IBSW_19->hpc334
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc210 <-> hpc434:hpc210->IBSW_12->IBB2_SW_L06->IBB2_SW_S05->IBB2_SW_L13->IBSW_25->hpc434
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc210 <-> hpc457:hpc210->IBSW_12->IBB1_SW_L06->IBB1_SW_S18->IBB1_SW_L13->IBSW_26->hpc457
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc256 <-> hpc260:hpc256->IBSW_15->hpc260
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc256 <-> hpc279:hpc256->IBSW_15->IBB1_SW_L08->IBSW_16->hpc279
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc256 <-> hpc334:hpc256->IBSW_15->IBB2_SW_L08->IBB2_SW_S14->IBB2_SW_L10->IBSW_19->hpc334
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc256 <-> hpc434:hpc256->IBSW_15->IBB2_SW_L08->IBB2_SW_S05->IBB2_SW_L13->IBSW_25->hpc434
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc256 <-> hpc457:hpc256->IBSW_15->IBB1_SW_L08->IBB1_SW_S18->IBB1_SW_L13->IBSW_26->hpc457
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc260 <-> hpc279:hpc260->IBSW_15->IBB1_SW_L08->IBSW_16->hpc279
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc260 <-> hpc334:hpc260->IBSW_15->IBB2_SW_L08->IBB2_SW_S14->IBB2_SW_L10->IBSW_19->hpc334
981633.un05:hpc139,hpc193,hpc209,hpc210,hpc256,hpc260,hpc279,hpc334,hpc434,hpc457:Nodes hpc260 <-> hpc434:hpc260->IBSW_15->IBB2_SW_L08->IBB2_SW_S05->IBB2_SW_L13->IBSW_25->hpc434
